RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,Flourishing,PANAS_PA,PANAS_NA,SHS,Loneliness,SCS,Stress,Homesick,Engagement
137,Direct,22,Third,NA,3,post,5.875,4.2,2,4,2.25,4.85,2,2,2
138,Indirect,20,Third,no,1,pre,4.875,3.6,1.6,2,3,3.05,3,3,2
138,Indirect,20,Third,no,1,post,4.875,3.6,1.6,2,3.05,2.75,3,4,2
139,Control,19,Second,no,2,pre,6,3.4,1.2,3.6666666666666665,1.95,5,3,2,4
139,Control,19,Second,no,2,post,6.125,NA,1,3.6666666666666665,1.5789473684210527,5.2,2,4,4
140,Direct,20,Second,yes,2,pre,5.375,1.2,4,2.6666666666666665,3.05,3,5,5,3
140,Direct,20,Second,yes,2,post,6.625,2.4,1,3.6666666666666665,1.9,5.2,1,5,3
141,Indirect,18,First,no,1,pre,6.375,3.6,2,4.333333333333333,2.2,4.5,3,2,4
141,Indirect,18,First,no,1,post,6,3.4,2,4,2,4.95,4,2,4
142,Control,18,First,no,1,pre,5.375,1.4,2.8,3.3333333333333335,2.263157894736842,4.45,5,2,3
142,Control,18,First,no,1,post,5.375,3,1.8,2.6666666666666665,1.95,4.55,4,3,4
143,Direct,20,Second,no,1,pre,5.125,2.8,2.6,2.3333333333333335,1.65,4.6,2,4,3
143,Direct,20,Second,no,1,post,5,2.6,2.2,2.3333333333333335,1.8,4.55,2,5,3
144,Indirect,21,Fourth,no,1,pre,5.75,4.2,1.6,3,2.2,4.7,4,5,5
144,Indirect,21,Fourth,no,1,post,6.375,4.2,1.4,3.3333333333333335,1.45,5.5,4,3,5
145,Control,20,Second,yes,1,pre,5.5,3.4,2.6,3,2.85,3.95,5,5,2
145,Control,20,Second,yes,1,post,5.625,3,2.8,3,2.55,3.5,5,5,2
146,Direct,30,Second,yes,1,pre,5,2.6,1.6,3.3333333333333335,1.7,4.05,2,5,1
146,Direct,30,Second,yes,1,post,4.875,3.2,1.2,3.3333333333333335,1.8,4.3,1,5,2
147,Indirect,21,Second,no,1,pre,6,3.8,1.2,4,1.7,4.1,2,3,2
147,Indirect,21,Second,no,1,post,6.125,3.8,1.4,3.6666666666666665,1.8,4.55,2,4,3
148,Control,18,First,no,1,pre,4.75,1.6,2,2.3333333333333335,3.4,3.15,5,1,3
148,Control,18,First,no,1,post,5.5,1.6,1.2,3.6666666666666665,2.9,3.7,4,2,2
149,Direct,19,Second,no,2,pre,5.875,3,1.2,4.333333333333333,1.15,5.25,2,5,4
149,Direct,19,Second,no,2,post,6,3.2,1.2,4.666666666666667,1.05,5.35,1,5,4
150,Indirect,23,Fourth,no,1,pre,5.375,2.6,1.8,4,2.5,4.05,3,4,4
150,Indirect,23,Fourth,no,1,post,5.375,2.8,1.6,4,2.2,4,2,4,4
151,Control,18,First,no,2,pre,5.5,3.8,1.8,3.6666666666666665,1.5,4.7,3,5,4
151,Control,18,First,no,2,post,5.25,3.6,1.6,3.6666666666666665,1.4,4.7,3,5,4
152,Direct,19,Second,no,1,pre,6.125,3.6,1.6,3.6666666666666665,1.5,5.05,4,4,5
152,Direct,19,Second,no,1,post,5.75,3.6,1.2,4,1.3,5.1,3,2,5
153,Indirect,19,Second,no,1,pre,6.25,3.4,1.6,3.6666666666666665,1.65,5.25,3,5,3
153,Indirect,19,Second,no,1,post,6.25,3.6,1.2,4,1.5,5.35,2,5,4
154,Control,23,Third,yes,1,pre,5.875,3.2,2.6,4.666666666666667,1.6,5.05,2,3,4
154,Control,23,Third,yes,1,post,6,3.2,2.6,4.333333333333333,1.65,4.9,2,4,4
155,Direct,18,First,yes,1,pre,5.875,2.8,1.8,3.3333333333333335,2.15,4.75,2,5,2
155,Direct,18,First,yes,1,post,5.625,3.2,1,3.6666666666666665,1.95,4.473684210526316,1,5,3
156,Indirect,21,Fourth,yes,2,pre,5.375,3.2,2.4,3.3333333333333335,2.4,4.1,4,2,3
156,Indirect,21,Fourth,yes,2,post,5.375,3.4,2,4,2.15,4.15,4,3,3
157,Control,18,First,no,1,pre,4,2.8,3,2.3333333333333335,3.05,2.65,5,3,1
157,Control,18,First,no,1,post,4,2.6,2.8,2.3333333333333335,3.1,2.9,5,2,1
158,Direct,20,Third,no,1,pre,6,2.6,1.8,4.333333333333333,2.65,3.8,4,2,2
158,Direct,20,Third,no,1,post,6.25,2.8,1.8,4.666666666666667,2.35,4.2631578947368425,2,5,4
159,Indirect,18,First,no,1,pre,5.75,4.6,2,4,3.05,3.45,3,3,4
159,Indirect,18,First,no,1,post,5.75,4.2,1,4,2.75,3.35,2,5,4
160,Control,23,Fourth,no,1,pre,5.5,3.6,1.4,3.3333333333333335,2,4.25,4,5,3
160,Control,23,Fourth,no,1,post,5.875,3.6,1.2,4,2.15,4.25,3,4,4
161,Direct,18,First,yes,1,pre,6.5,3.8,2.2,3.6666666666666665,1.55,4.7,3,5,3
161,Direct,18,First,yes,1,post,6.375,2,1.6,3.3333333333333335,1.6,5,2,5,3
162,Indirect,19,Second,no,1,pre,5.375,2.8,1.6,3.6666666666666665,2.4,3.75,3,5,3
162,Indirect,19,Second,no,1,post,5.25,2.6,1.4,4,2.25,3.8,1,5,3
163,Control,18,First,no,1,pre,4.5,2.8,1.2,2.3333333333333335,3.15,2.85,4,5,2
163,Control,18,First,no,1,post,4.5,3.4,1,2.3333333333333335,2.9,2.95,3,5,1
164,Direct,20,Third,no,1,pre,6.5,4,2.2,3.3333333333333335,1.65,4.65,5,4,3
164,Direct,20,Third,no,1,post,6.5,4.2,1.8,3.3333333333333335,1.5,5.05,2,5,4
165,Indirect,18,First,no,1,pre,6.125,3.4,1.8,3,1.8,4.95,4,3,4
165,Indirect,18,First,no,1,post,6.125,4,1,3.6666666666666665,1.55,5.3,3,4,4
166,Control,19,First,no,1,pre,5.625,2.8,2,3,1.75,4.45,4,1,4
166,Control,19,First,no,1,post,5.75,2.8,2.2,2.6666666666666665,2.1,4.85,5,1,3
167,Direct,19,First,no,1,pre,6.375,3.6,2,3.6666666666666665,1.9,5.05,3,4,3
167,Direct,19,First,no,1,post,6.625,4,1.8,4,1.65,5.05,2,4,4
168,Indirect,18,First,no,1,pre,5,2.4,1.2,1.6666666666666667,1.6,5.15,4,1,4
168,Indirect,18,First,no,1,post,6.375,3.2,1,2.6666666666666665,1.15,5.625,1,3,4
169,Control,19,First,no,1,pre,5,3.2,2.4,2.3333333333333335,2.526315789473684,3.6,3,2,2
169,Control,19,First,no,1,post,5.5,3.2,2.2,2.3333333333333335,2.75,3.5,3,2,2
170,Direct,19,Second,no,1,pre,5.875,2.6,2.6,4,2.25,4.6,3,2,3
170,Direct,19,Second,no,1,post,5.875,2.2,1.2,4.333333333333333,1.75,4.75,1,3,4
171,Indirect,24,Fourth,yes,1,pre,6.25,3,1.4,3.6666666666666665,2.5,3.8,2,5,4
171,Indirect,24,Fourth,yes,1,post,6.125,2.6,1,3.6666666666666665,2.4,3.7,1,5,4
172,Control,19,Second,no,1,pre,5.125,1.8,2,2.3333333333333335,2.7,3.3,3,2,3
172,Control,19,Second,no,1,post,5.25,2,2,2.6666666666666665,2.45,3.55,4,2,3
173,Direct,19,First,no,1,pre,6.5,4.6,1.4,5,1.6,4.95,2,3,4
173,Direct,19,First,no,1,post,6.5,4.6,1.2,5,1.5,5.05,1,4,3
174,Indirect,19,First,yes,1,pre,5.25,3,3.8,3,2.1,4.7,4,5,4
174,Indirect,19,First,yes,1,post,5.625,NA,4.4,3,2.35,4.25,4,5,3
175,Control,19,First,yes,1,pre,5.375,3.2,3.4,3.3333333333333335,2.4210526315789473,3.85,4,5,4
175,Control,19,First,yes,1,post,4.625,3,4.4,3,2.7,3.65,4,5,3
176,Direct,18,First,no,1,pre,5.625,3.6,2.2,3.6666666666666665,2.15,4.75,1,3,4
176,Direct,18,First,no,1,post,5.25,3.6,2,3.6666666666666665,2.2,4.7,1,3,4
177,Indirect,19,Second,no,1,pre,5.875,3.2,2.4,4.333333333333333,1.55,5.35,2,5,4
177,Indirect,19,Second,no,1,post,6.125,2.4,2,4.666666666666667,1.15,5.55,2,5,4
178,Control,21,Fourth,no,1,pre,4.625,2.4,2.6,2.3333333333333335,1.65,3.9,4,5,3
178,Control,21,Fourth,no,1,post,5.125,2.8,2.6,2.6666666666666665,1.55,4.25,2,5,3
179,Direct,21,Third,no,1,pre,6.125,3.4,2.4,3.6666666666666665,1.45,5.1,4,4,4
179,Direct,21,Third,no,1,post,6.125,3.8,1.6,3.6666666666666665,1.4,5.2,2,4,4
180,Indirect,21,Third,yes,1,pre,5.5,3.6,2.8,3.3333333333333335,2.3,4.3,4,5,4
180,Indirect,21,Third,yes,1,post,5.625,4,2.6,3.3333333333333335,2.1,4.15,3,5,4
181,Control,19,Second,no,1,pre,6,3.8,1.4,4.666666666666667,1.7,5.35,3,4,4
181,Control,19,Second,no,1,post,6.125,3.8,1.2,4.333333333333333,1.4,5.55,2,3,4
182,Direct,19,Second,no,1,pre,6,3.2,2.6,3.3333333333333335,1.6,4.75,4,4,3
182,Direct,19,Second,no,1,post,6,3.4,2,3.3333333333333335,1.8,4.85,2,4,3
183,Indirect,25,Fifth or above,yes,1,pre,7,4.4,1.2,4.333333333333333,1.55,5.2,2,5,2
183,Indirect,25,Fifth or above,yes,1,post,7,5,1,4.333333333333333,1.55,5.35,2,5,3
184,Control,21,Fourth,yes,1,pre,5.125,2.2,1.2,1.6666666666666667,2.25,4.05,4,4,2
184,Control,21,Fourth,yes,1,post,5.25,1.4,1.4,2,2.4,3.9,4,3,2
185,Direct,20,Second,yes,1,pre,5.625,3.8,2,3.3333333333333335,2,4.85,3,5,4
185,Direct,20,Second,yes,1,post,5.875,3.6,1,3.3333333333333335,1.6,5.05,2,5,5
186,Indirect,19,Second,no,2,pre,6,3.4,2,3.6666666666666665,1.9,5.3,4,3,5
186,Indirect,19,Second,no,2,post,6.75,3.8,1.2,4.666666666666667,1.35,5.85,2,1,5
187,Control,22,Fourth,no,1,pre,4.375,2.6,1.6,2.6666666666666665,2,3.75,3,2,2
187,Control,22,Fourth,no,1,post,4.75,3,1.4,2.6666666666666665,2.3,3.6,2,2,2
188,Direct,20,Fourth,no,1,pre,2.75,1.2,3.4,1.3333333333333333,3.4,1.6,4,3,2
188,Direct,20,Fourth,no,1,post,3.5,2.4,1.2,3,2.45,3.6,2,5,4
189,Indirect,21,Fourth,yes,1,pre,6,3,1.4,3,1.75,5,3,5,3
189,Indirect,21,Fourth,yes,1,post,6.25,2.6,1,3.6666666666666665,1.55,5,1,5,3
190,Control,18,First,no,1,pre,5.25,3.4,2.4,3.3333333333333335,1.65,4.7,3,3,4
190,Control,18,First,no,1,post,5.375,3.4,2.2,3.6666666666666665,1.8,4.95,2,3,4
191,Direct,22,Fourth,yes,1,pre,6.25,3.6,1.8,3.6666666666666665,1.9,4.55,4,5,2
191,Direct,22,Fourth,yes,1,post,6.5,3.6,1,4,1.75,4.8,2,5,3
192,Indirect,18,First,no,1,pre,5.875,3.8,1.8,3.3333333333333335,2,4.65,4,3,4
192,Indirect,18,First,no,1,post,5.5,3.6,1.4,4,1.9,4.4,3,3,3
193,Control,21,Third,yes,1,pre,6,4.6,1.4,3.6666666666666665,2.1,4.65,4,5,2
193,Control,21,Third,yes,1,post,5.875,4.6,1.2,3.6666666666666665,1.85,5.2,3,5,3
194,Direct,23,Fourth,yes,1,pre,6.375,2.6,2.4,3.3333333333333335,1.75,5.45,4,5,5
194,Direct,23,Fourth,yes,1,post,6.625,2.6,1.4,3.3333333333333335,1.5,5.45,2,5,5
195,Indirect,22,Third,yes,1,pre,6.125,3.2,2.2,4.333333333333333,1.8,4.7,4,5,3
195,Indirect,22,Third,yes,1,post,6.125,3,2.6,4.333333333333333,2.2,4.75,4,5,3
196,Control,24,Fifth or above,yes,1,pre,5.875,3,1.2,3.6666666666666665,1.7,4.8,4,5,4
196,Control,24,Fifth or above,yes,1,post,5,2.6,1.8,3.3333333333333335,1.9,4.2,4,5,4
197,Direct,19,Second,no,1,pre,6.125,2.6,1,3.6666666666666665,1.8,5.05,2,5,2
197,Direct,19,Second,no,1,post,6.5,2.4,1,4,1.7,5.25,1,5,4
198,Indirect,20,Second,no,2,pre,5.625,3.2,1.2,4.333333333333333,1.85,4.45,2,3,4
198,Indirect,20,Second,no,2,post,5.875,1.8,1.8,4.333333333333333,2,4.15,3,2,4
199,Control,19,Second,no,3,pre,5.875,4,2.6,3.6666666666666665,1.55,4.7,3,4,5
199,Control,19,Second,no,3,post,5.625,3.6,2.2,3.6666666666666665,1.6,5.1,3,5,5
200,Direct,22,First,no,2,pre,5.375,1.6,3,2.3333333333333335,2.45,3.9,3,5,3
200,Direct,22,First,no,2,post,4.75,2.4,1.6,2.6666666666666665,2.75,3.210526315789474,3,5,3
201,Indirect,28,Fifth or above,yes,1,pre,5,2.8,2,2.3333333333333335,2.5789473684210527,3.5,3,5,3
201,Indirect,28,Fifth or above,yes,1,post,4.75,3,1.2,3,2.55,3.6,1,5,3
202,Control,21,Third,no,1,pre,6,2.6,1.2,2.6666666666666665,1.9,4.2,3,5,5
202,Control,21,Third,no,1,post,5.625,1.6,1.2,2.6666666666666665,2.05,4.5,3,5,4
203,Direct,19,First,no,1,pre,4.875,4.2,1,3.3333333333333335,1.9,3.85,2,3,4
203,Direct,19,First,no,1,post,5.5,4.2,1,3.3333333333333335,1.75,3.6,1,5,4
204,Indirect,20,Second,yes,1,pre,3.5,3.8,3,2.6666666666666665,3.2,2.05,4,5,1
204,Indirect,20,Second,yes,1,post,3.75,3.8,2.8,2.6666666666666665,3.15,2.15,4,5,1
205,Control,18,First,no,2,pre,4.125,3,3.4,3.6666666666666665,1.9,3.6,4,4,3
205,Control,18,First,no,2,post,4.5,3.6,3.2,3.6666666666666665,1.9,3.7,2,5,3
206,Direct,19,Second,no,1,pre,6.125,3.8,1.8,3.6666666666666665,1.55,5.05,4,5,4
206,Direct,19,Second,no,1,post,6.125,4,1.4,3.6666666666666665,1.3,5.3,3,5,4
207,Indirect,20,Second,yes,1,pre,5.875,2.2,1.8,3,2.45,4.05,3,5,2
207,Indirect,20,Second,yes,1,post,5.375,2,1,3.6666666666666665,2.2,4.15,2,5,3
208,Control,19,Second,no,1,pre,4.625,2,3.6,3,1.75,4.45,4,5,2
208,Control,19,Second,no,1,post,4.5,2,3,2.6666666666666665,1.75,4.55,5,4,2
209,Direct,19,Second,yes,1,pre,6,3.2,1,4,1.15,5.157894736842105,1,5,4
209,Direct,19,Second,yes,1,post,6,3,1,4,1.05,5.1,1,5,4
210,Indirect,19,Second,yes,1,pre,6.625,3.8,1,4,1.631578947368421,5.15,2,5,3
210,Indirect,19,Second,yes,1,post,6.5,4.2,1.4,4.333333333333333,1.6,5.6,4,5,3
211,Control,18,First,no,2,pre,6.5,3.8,1.8,3.6666666666666665,2.1,4.5,5,3,4
211,Control,18,First,no,2,post,6.5,3.8,1.4,3.6666666666666665,1.9,4.5,4,2,4
212,Direct,21,Second,yes,1,pre,5.625,2.6,1.6,3.3333333333333335,2.3157894736842106,3.95,3,5,1
212,Direct,21,Second,yes,1,post,5.5,3.2,1,3.6666666666666665,2.3,4.45,1,5,1
213,Indirect,19,Second,no,1,pre,5.625,3.2,1,2,1.5,5.15,4,5,5
213,Indirect,19,Second,no,1,post,6.25,4.4,1,2.6666666666666665,1.3,5.8,2,5,5
214,Control,18,First,no,1,pre,4.5,1.8,2,2,2.95,3.2,3,4,2
214,Control,18,First,no,1,post,4.5,2,2,2.3333333333333335,2.85,3,3,4,2
215,Direct,21,Second,no,1,pre,5.25,2.8,2.6,1.3333333333333333,2.9,3.05,4,3,2
215,Direct,21,Second,no,1,post,5,2.8,1.8,2,2.55,3.1,2,4,3
216,Indirect,19,Second,no,1,pre,4.875,3.8,3.2,2.3333333333333335,2.55,3.5,4,3,2
216,Indirect,19,Second,no,1,post,4.75,3.2,3,2.6666666666666665,2.45,4.052631578947368,3,3,2
217,Control,19,First,no,1,pre,5.75,3.4,3.2,4.333333333333333,1.95,4.3,4,1,3
217,Control,19,First,no,1,post,6.875,3.8,2.8,4.666666666666667,2,4.55,2,3,4
218,Direct,18,First,no,2,pre,3.75,3.4,3.8,1.6666666666666667,3.25,2.25,3,2,2
218,Direct,18,First,no,2,post,4.375,3.4,2.2,2.6666666666666665,2.75,3.5,2,5,2
219,Indirect,19,First,no,2,pre,4.5,3.6,3.4,3,2.85,3.25,4,5,3
219,Indirect,19,First,no,2,post,3.5,3.2,3.6,2.6666666666666665,2.75,3.2,4,5,3
220,Control,19,Second,yes,1,pre,6.25,3.6,1.6,5,1.1,5.5,4,4,4
220,Control,19,Second,yes,1,post,6.375,3.6,1,5,1.1,5.75,4,4,4
221,Direct,20,Second,no,1,pre,7,4,1.2,5,1.05,5.9,4,3,2
221,Direct,20,Second,no,1,post,7,4,1,5,1,6,2,5,2
222,Indirect,19,Second,yes,1,pre,7,3.6,1,3.6666666666666665,1.3,5.35,2,5,5
222,Indirect,19,Second,yes,1,post,7,4.2,1,4,1,5.55,2,5,5
223,Control,21,Fourth,no,1,pre,6,3.8,2.2,1.6666666666666667,1.8,5.1,4,3,4
223,Control,21,Fourth,no,1,post,6,3.8,2.2,2.6666666666666665,1.8,5.35,3,3,4
224,Direct,21,Second,yes,1,pre,5.75,3.6,1.2,3.6666666666666665,1.55,5.15,2,5,3
224,Direct,21,Second,yes,1,post,5.75,4,1,4,1.4,5.35,1,5,5
225,Indirect,20,First,no,1,pre,4.875,3.8,3.4,2.6666666666666665,2.35,3.5,5,4,4
225,Indirect,20,First,no,1,post,4.625,3.2,3.4,3.3333333333333335,2.35,3.65,5,4,4
226,Control,22,Fourth,no,1,pre,5.75,3.6,1.4,4.333333333333333,1.45,5.55,2,5,4
226,Control,22,Fourth,no,1,post,6.25,3.4,1.4,4.666666666666667,1.25,5.7,2,5,4
227,Direct,21,Fourth,no,1,pre,5.125,3.4,2.8,2.6666666666666665,2.15,4.4,4,4,3
227,Direct,21,Fourth,no,1,post,4.5,3.4,3,2.6666666666666665,1.9,4.65,3,4,3
228,Indirect,18,First,yes,1,pre,4.875,2.4,2.4,1.6666666666666667,2.6,3.1,4,5,2
228,Indirect,18,First,yes,1,post,5.25,1.6,1,2.3333333333333335,2.4,3.4210526315789473,3,5,2
229,Control,19,Second,no,2,pre,5.625,4.2,1.6,3.6666666666666665,1.2105263157894737,5.05,5,3,4
229,Control,19,Second,no,2,post,6,4,1.4,3.6666666666666665,1.2,5.05,4,3,4
230,Direct,19,Second,no,1,pre,6,3.4,1.2,3.6666666666666665,1.25,5.2,3,5,4
230,Direct,19,Second,no,1,post,6.125,3,1.2,4.333333333333333,1.05,5.1,1,5,4
231,Indirect,19,First,no,1,pre,5.625,3.2,2,3.3333333333333335,1.9,4.45,3,3,4
231,Indirect,19,First,no,1,post,6.125,3,1,3.6666666666666665,1.55,4.95,2,3,4
232,Control,29,Fourth,yes,1,pre,6.75,4.2,2.6,4.333333333333333,2.4,4.85,3,4,1
232,Control,29,Fourth,yes,1,post,6.625,4.8,1.6,4.333333333333333,2.1578947368421053,5.105263157894737,1,3,1
233,Direct,21,Fourth,no,1,pre,6.375,3.8,1.6,3.6666666666666665,1.6,5.3,4,4,5
233,Direct,21,Fourth,no,1,post,6.625,2.6,1,3.6666666666666665,1.3,5.55,2,4,5
234,Indirect,19,Second,no,1,pre,5.5,2.6,1.8,2,1.95,4.15,3,3,2
234,Indirect,19,Second,no,1,post,5.5,2.8,1.2,2,2.6,4.25,2,4,3
235,Control,18,First,no,2,pre,6.5,4.6,1.6,4.333333333333333,1.6,5.45,3,5,5
235,Control,18,First,no,2,post,6.625,4.6,1.2,4.333333333333333,1.55,5.4,3,5,5
236,Direct,19,First,no,1,pre,5.25,2.6,2.8,3,2.75,3.45,5,2,3
236,Direct,19,First,no,1,post,5.375,3.2,1.6,4.333333333333333,2.15,4,2,4,5
237,Indirect,19,Second,no,1,pre,6.125,4.2,1.2,4.666666666666667,1.65,5.4,3,5,5
237,Indirect,19,Second,no,1,post,6.25,4,1,4.666666666666667,1.65,5.55,3,5,5
238,Control,20,Second,no,1,pre,3,2,3.2,2,3.3,2.8,1,2,3
238,Control,20,Second,no,1,post,3.25,1.8,2.2,2,2.95,2.9,1,2,3
239,Direct,19,Second,yes,1,pre,6.375,4,2,4,2.4,4.05,3,4,1
239,Direct,19,Second,yes,1,post,6.375,4.2,2.2,4.666666666666667,2.55,3.25,3,3,1
240,Indirect,19,Second,no,1,pre,6,3.2,1.4,3.3333333333333335,1.7,4.8,2,5,4
240,Indirect,19,Second,no,1,post,6,3.6,1.4,3.6666666666666665,1.75,4.7,2,5,5
241,Control,18,First,no,1,pre,6,2.6,1.6,3.6666666666666665,2.35,3.85,4,3,3
241,Control,18,First,no,1,post,5.375,2.4,1.4,3.6666666666666665,2.4,3.8,3,3,3
242,Direct,19,First,no,1,pre,5.625,3,2,2.3333333333333335,2.5,3.5,5,2,4
242,Direct,19,First,no,1,post,5.75,2.6,1.8,3.3333333333333335,2.15,4,3,3,4
243,Indirect,27,Second,yes,1,pre,5.5,2.8,2.2,3.6666666666666665,2.1,3.65,4,5,2
243,Indirect,27,Second,yes,1,post,5.5,2.6,2.2,3.6666666666666665,2.1,3.9,3,5,2
244,Control,21,Third,yes,1,pre,6.625,2.6,1.2,4.333333333333333,1.55,4.85,3,5,4
244,Control,21,Third,yes,1,post,6.5,3.4,1,5,1.5,5.25,1,5,4
245,Direct,21,Third,no,1,pre,5.75,3.4,1.4,4.333333333333333,1.6,4.75,3,5,5
245,Direct,21,Third,no,1,post,6.125,3.4,1,4.666666666666667,1.4,5.25,3,5,5
246,Indirect,20,Second,yes,1,pre,5.75,2.8,2,4.333333333333333,1.75,4.25,4,5,4
246,Indirect,20,Second,yes,1,post,5.75,NA,2.4,3.6666666666666665,1.7,4.75,3,4,4
247,Control,23,Third,no,1,pre,6.625,4.6,1.8,4.333333333333333,1.55,5.75,4,5,5
247,Control,23,Third,no,1,post,6.5,4.2,1.6,4.666666666666667,1.3,5.75,2,5,5
248,Direct,20,Second,yes,1,pre,6.875,4,1.6,4.333333333333333,1.05,5.8,2,5,5
248,Direct,20,Second,yes,1,post,6.875,3.8,1.2,5,1.05,5.65,1,5,5
249,Indirect,21,Third,yes,1,pre,6.375,4.2,1.6,3,1.4,5.25,3,4,4
249,Indirect,21,Third,yes,1,post,6.625,4.8,1.2,3.6666666666666665,1.15,5.85,2,5,4
250,Direct,18,First,no,1,pre,5.25,3.6,1.8,3,2,4.35,4,3,2
250,Direct,18,First,no,1,post,5.625,3.4,1,3.6666666666666665,1.7,4.65,2,4,3
251,Indirect,19,First,yes,1,pre,6.5,3.4,2,3.6666666666666665,1.35,5.1,5,5,3
251,Indirect,19,First,yes,1,post,6.25,2.8,1.8,4,1.35,5.1,3,5,4
252,Control,19,First,yes,1,pre,5.5,3.4,3.6,2,2.25,3.85,5,4,5
252,Control,19,First,yes,1,post,6,3,3,2,2.15,3.95,5,5,2
253,Direct,19,First,no,1,pre,5.875,2.8,1.6,3.6666666666666665,1.75,4.55,3,5,4
253,Direct,19,First,no,1,post,5.875,3.2,1.8,4,1.5,4.45,3,5,4
254,Indirect,18,First,no,1,pre,6.625,4.2,2.8,3.6666666666666665,1.6,4.5,3,5,4
254,Indirect,18,First,no,1,post,6.625,4.2,2.6,3.6666666666666665,1.5,4.55,3,5,4
255,Control,19,Second,no,1,pre,5.5,3.4,3.2,2.3333333333333335,2.9,3.15,4,5,3
255,Control,19,Second,no,1,post,5.125,3.4,3.4,2.3333333333333335,3,2.75,4,5,3
256,Direct,19,First,no,1,pre,5.75,3.6,1.2,3.6666666666666665,2.65,3.9,1,3,3
256,Direct,19,First,no,1,post,5.75,3.8,1.2,3.6666666666666665,2.05,4.2,1,5,4
257,Indirect,20,Second,yes,1,pre,6.875,3.2,1.4,4.333333333333333,1.45,5.25,4,5,3
257,Indirect,20,Second,yes,1,post,6.875,3.6,1,5,1.15,5.7,2,5,4
258,Control,20,First,no,1,pre,6.5,2.8,1.2,5,1.25,5.45,2,3,5
258,Control,20,First,no,1,post,6.375,2.8,1,4.666666666666667,1.4,5.55,1,4,5
259,Direct,20,Third,no,1,pre,6,3,1.6,3.3333333333333335,1.6,4.894736842105263,4,4,4
259,Direct,20,Third,no,1,post,6.25,3.4,1.2,3.6666666666666665,1.3,5.2,3,5,4
260,Indirect,19,Second,yes,1,pre,5.5,3,1.4,3.3333333333333335,2.25,4.2,3,5,3
260,Indirect,19,Second,yes,1,post,5.75,2.8,1,3.3333333333333335,2.25,4.4,2,5,3
261,Control,36,Third,no,1,pre,7,4.4,1.2,4.333333333333333,1.35,5.55,4,5,4
261,Control,36,Third,no,1,post,7,4.8,1,4.666666666666667,1.2,5.35,2,5,4
262,Direct,22,Third,no,1,pre,6.375,5,1.8,3.6666666666666665,1.65,5.4,3,5,5
262,Direct,22,Third,no,1,post,6.625,5,1.6,4.333333333333333,1.4210526315789473,5.6,1,5,5
263,Indirect,19,First,no,1,pre,5.5,2.8,1.6,3.3333333333333335,1.75,4.8,4,4,4
263,Indirect,19,First,no,1,post,5.625,2.8,1.6,3.3333333333333335,1.85,4.9,4,4,4
264,Control,19,First,no,1,pre,6.125,3.2,1.4,4.333333333333333,1.5,5.1,4,3,4
264,Control,19,First,no,1,post,6,3.6,1.8,4.333333333333333,1.3,5.4,4,3,5
265,Direct,18,First,yes,1,pre,6.375,3.8,2.2,3.6666666666666665,2.55,4.2,2,5,3
265,Direct,18,First,yes,1,post,6.75,4.2,1.4,4.333333333333333,2.15,4.9,1,5,3
266,Indirect,18,First,yes,1,pre,6.375,3,1.4,4,2.25,3.95,2,5,4
266,Indirect,18,First,yes,1,post,6.375,2.8,1.4,4,2.2,3.8421052631578947,1,5,4
267,Control,19,Second,no,1,pre,5.375,1.8,1.6,3.3333333333333335,2,4.65,5,2,3
267,Control,19,Second,no,1,post,6,2.2,1.2,3.6666666666666665,1.65,4.9,3,4,3
268,Direct,20,Second,no,1,pre,5,3.6,1.8,3.3333333333333335,3.5,2.35,3,2,2
268,Direct,20,Second,no,1,post,5.625,3.8,1.2,4,2.85,2.95,2,4,3
269,Indirect,21,Fourth,no,1,pre,5.5,4.2,1.4,3,2.4,3.9,4,2,1
269,Indirect,21,Fourth,no,1,post,5.625,NA,NA,3.3333333333333335,2.4,3.95,2,2,2
270,Control,24,Fifth or above,no,1,pre,5.375,2.8,1.4,3.6666666666666665,1.7,4.65,2,5,3
270,Control,24,Fifth or above,no,1,post,5.625,2.8,1.2,3.6666666666666665,1.8,4.6,3,5,2
271,Direct,23,Fourth,yes,1,pre,5.625,4,2,2.3333333333333335,2.8,3.6,2,4,3
271,Direct,23,Fourth,yes,1,post,5.875,3.4,1.4,2.3333333333333335,2.5,3.55,1,4,3
272,Indirect,18,First,no,1,pre,5.75,3,2.2,2.3333333333333335,2.3,3.9,3,5,3
272,Indirect,18,First,no,1,post,5.25,3,1,3.3333333333333335,2.2,4.15,1,5,3
273,Control,19,Second,no,1,pre,5.875,3.6,1.8,4,1.55,5.1,2,5,4
273,Control,19,Second,no,1,post,5.75,3.8,1.6,4,1.55,5.05,1,5,5
274,Direct,18,First,yes,1,pre,5.75,3.4,2,3.6666666666666665,2.1,4.25,3,4,4
274,Direct,18,First,yes,1,post,5.875,3.4,1.6,3.6666666666666665,1.7,4.8,1,4,4
275,Indirect,20,Second,yes,1,pre,6.125,3.4,2,3.6666666666666665,1.95,5,4,4,4
275,Indirect,20,Second,yes,1,post,6.125,3.8,2.2,3.3333333333333335,1.75,5.15,3,2,4
276,Control,18,First,no,1,pre,6.375,4.4,2.6,3.6666666666666665,2.05,4.85,1,3,1
