RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,Flourishing,PANAS_PA,PANAS_NA,SHS,Loneliness,SCS,Stress,Homesick,Engagement
32,Direct,20,Third,no,2,post,5.875,2.4,1.2,3,1.75,4.95,2,5,3
33,Indirect,20,Second,yes,1,pre,5.5,3.4,2.8,1.6666666666666667,2.1,3.95,5,5,2
33,Indirect,20,Second,yes,1,post,6,4.4,1.2,2.3333333333333335,1.55,4.85,3,5,3
34,Control,18,First,no,2,pre,4.875,3.4,2.8,2.6666666666666665,2.05,4.7,2,2,3
34,Control,18,First,no,2,post,4.5,3.2,3,2.6666666666666665,1.9,4.45,2,3,3
35,Direct,18,First,no,1,pre,5.875,2.6,1.6,2.6666666666666665,1.8,4.65,2,5,4
35,Direct,18,First,no,1,post,5.875,2.6,1,2.6666666666666665,1.4,5,1,5,4
36,Indirect,18,First,no,1,pre,4.625,3,1.6,3.6666666666666665,2.15,4.25,3,5,4
36,Indirect,18,First,no,1,post,4.375,3,1.2,4.666666666666667,2.05,4.35,2,5,4
37,Control,20,Third,no,1,pre,6.25,2.8,1.8,3,2.95,3.35,4,2,2
37,Control,20,Third,no,1,post,6.25,2.8,1.2,3.3333333333333335,2.8,3.9,3,2,2
38,Direct,18,First,no,1,pre,5.5,4.2,2,2.6666666666666665,1.95,4.45,3,5,2
38,Direct,18,First,no,1,post,5.25,4.2,1.2,3.3333333333333335,1.9,4.45,2,5,3
39,Indirect,20,Third,no,1,pre,6.125,2.2,1.2,5,1.5263157894736843,5.2,2,5,3
39,Indirect,20,Third,no,1,post,6.125,2,1,5,1.55,5.05,2,5,3
40,Control,17,First,no,1,pre,6.375,3,1,3.3333333333333335,2.45,4.15,4,5,2
40,Control,17,First,no,1,post,5.625,3.4,1,3,2.45,4,3,5,1
41,Direct,18,First,no,1,pre,4.875,2.6,1.4,2.6666666666666665,1.9,4.55,4,4,4
41,Direct,18,First,no,1,post,5.125,3.2,1,3.3333333333333335,1.65,4.75,3,5,4
42,Indirect,21,Second,no,1,pre,4.5,3,2.6,1.3333333333333333,1.9,3.45,4,2,3
42,Indirect,21,Second,no,1,post,5,2.4,1.4,1.3333333333333333,2,3.6842105263157894,3,2,3
43,Control,19,Second,no,1,pre,5.375,1.8,1.6,2.6666666666666665,1.65,5.05,4,5,3
43,Control,19,Second,no,1,post,5,1.4,1.2,3,1.75,5.1,4,5,3
44,Direct,21,Second,yes,1,pre,NA,2.6,3.2,3.6666666666666665,2.45,4.1,4,5,3
44,Direct,21,Second,yes,1,post,5.125,2.2,2.2,3.6666666666666665,2.15,4.1,3,5,NA
45,Indirect,19,Second,yes,1,pre,5.5,NA,1.2,3,1.7,5.2,4,5,1
45,Indirect,19,Second,yes,1,post,5.5,3.2,1.2,3.3333333333333335,1.5,5.1,3,5,1
46,Control,19,First,no,1,pre,4.25,2.6,2.4,2.3333333333333335,2.4,3.3,4,4,3
46,Control,19,First,no,1,post,4.25,2.6,2.4,2.3333333333333335,2.75,3.2,4,4,3
47,Direct,19,Second,no,1,pre,3.375,3,3.2,1.3333333333333333,3.35,1.8,4,2,2
47,Direct,19,Second,no,1,post,2.75,2.8,1.4,2.3333333333333335,3.1,2.8,2,2,3
48,Indirect,22,Second,yes,1,pre,5.75,3.2,2.6,4,2.4,3.2,3,5,2
48,Indirect,22,Second,yes,1,post,6.125,3.2,2,3.3333333333333335,2.45,3.3157894736842106,4,5,2
49,Control,20,Second,yes,1,pre,5.25,2.8,3.6,2.6666666666666665,2.6,3.65,2,4,1
49,Control,20,Second,yes,1,post,5.25,2,2.6,2.6666666666666665,2.6,3.35,2,4,1
50,Direct,19,First,no,1,pre,6.875,4.2,1.8,4.666666666666667,1.8,5.2,1,3,5
50,Direct,19,First,no,1,post,7,3.6,1.4,4.666666666666667,1.6,5.25,1,5,5
51,Indirect,20,First,no,1,pre,5.25,3.2,3.2,3.6666666666666665,2.5,3.8,5,2,3
51,Indirect,20,First,no,1,post,5.75,3.8,NA,4,2.05,4.55,1,4,3
52,Control,19,First,no,1,pre,5,2.8,2,3.3333333333333335,2.6,3.85,2,3,4
52,Control,19,First,no,1,post,4.875,2.6,1.6,3.6666666666666665,2.85,3.45,2,3,4
53,Direct,19,Second,no,1,pre,4.25,2.2,3.2,1.3333333333333333,2.5789473684210527,3.65,4,2,4
53,Direct,19,Second,no,1,post,4.375,2,1.6,2,2,4.15,2,3,5
54,Indirect,22,Fourth,no,1,pre,5.75,3.4,3.2,2,1.7,4.95,5,4,4
54,Indirect,22,Fourth,no,1,post,5.5,3.4,3.2,2,2.2,4.85,5,4,4
55,Control,19,Second,no,3,pre,6.125,3.6,1.2,3.6666666666666665,1.5,5.3,3,3,5
55,Control,19,Second,no,3,post,6.125,3.6,1,3.6666666666666665,1.4,5.45,2,3,5
56,Direct,20,First,no,1,pre,6,3.6,1.2,3.6666666666666665,2.2,4.9,3,1,3
56,Direct,20,First,no,1,post,6.25,4.4,1,4,2,5,1,3,3
57,Indirect,20,Third,no,1,pre,4.5,3.4,2.8,2.6666666666666665,2.9,3.05,3,4,3
57,Indirect,20,Third,no,1,post,4.5,3.4,2.4,2.6666666666666665,2.6842105263157894,3.35,2,4,3
58,Control,31,Fourth,no,1,pre,5.25,3.2,3.6,2.6666666666666665,2.75,3.8,3,5,1
58,Control,31,Fourth,no,1,post,5.625,2.4,3.2,2.6666666666666665,2.75,3.3,3,5,1
59,Direct,22,Second,yes,1,pre,3.625,1.8,2.4,1.6666666666666667,3,2.4,3,5,2
59,Direct,22,Second,yes,1,post,4.25,1.8,2.2,2,2.75,2.7,2,5,2
60,Indirect,18,First,no,1,pre,6.25,3.4,1.6,3,1.6,5.1,2,5,4
60,Indirect,18,First,no,1,post,6.125,3,1.4,2.6666666666666665,1.4,5.4,1,5,4
61,Control,19,Second,no,1,pre,6.375,4,1.8,3.6666666666666665,1.8,5.15,3,2,2
61,Control,19,Second,no,1,post,6.375,4.6,1.4,3.6666666666666665,1.5,5.1,2,3,3
62,Direct,19,First,yes,1,pre,6,3.4,1.6,4,1.9,4.7,3,5,4
62,Direct,19,First,yes,1,post,6.625,3.6,1,4,1.65,4.944444444444445,1,5,4
63,Indirect,31,Third,no,1,pre,4.625,2.8,2.4,2.6666666666666665,2.05,4,2,5,1
63,Indirect,31,Third,no,1,post,5,3.4,1.6,3.3333333333333335,2.2,4.05,1,5,2
64,Control,18,First,no,1,pre,4.875,1.6,2.2,2.6666666666666665,2.5,3.1,3,5,4
64,Control,18,First,no,1,post,5,1.6,2,2.6666666666666665,2.8,2.9,4,5,2
65,Direct,27,Second,yes,1,pre,6.5,3.8,1.6,4,1.85,5.1,4,5,4
65,Direct,27,Second,yes,1,post,6.625,4.6,1,4.666666666666667,1.3,5.65,1,5,4
66,Indirect,20,Second,no,1,pre,6.625,4.6,1.6,4.333333333333333,2.15,4.6,2,4,2
66,Indirect,20,Second,no,1,post,6.625,4.6,1.6,4.333333333333333,2.3,4.5,3,2,2
