Serial,Watch_wk,Watch_we,Comp_wk,Comp_we,Comph_wk,Comph_we,Smart_wk,Smart_we
1009418,1,1,0,0.5,1,2,0.5,0.5
1009419,3,5,1,3,1,3,1,2
1009420,1,0.5,5,7,5,5,0,0
1009421,1,1,0.5,0.5,0.5,1,1,0.5
1009423,2,3,2,3,1,1,0,0
1009424,2,3,0,0,0.5,1,1,2
1009425,6,7,6,7,0.5,0.5,0,0
1009426,4,6,0,0,0.5,0.5,0,0
1009427,0,0,3,7,3,7,0,0
1009428,2,2,0.5,0.5,2,3,2,3
1009429,3,2,0,0.5,2,0,0.5,2
1009430,0.5,0.5,1,2,2,4,1,2
1009431,2,4,4,7,0.5,0.5,0.5,0.5
1009432,1,3,3,4,1,1,6,7
1009433,3,4,0,2,2,3,2,3
1009434,1,2,0,1,0.5,0.5,3,3
1009435,1,2,1,3,1,2,0,0.5
1009437,6,7,3,7,0.5,0,5,5
1009438,1,3,0,0.5,2,3,1,3
1009439,2,3,3,4,0.5,1,0.5,0.5
1009440,5,7,3,7,0.5,1,1,0.5
1009441,4,7,3,6,4,5,2,3
1009442,2,2,2,7,0,0,2,0.5
1009443,2,4,2,5,0.5,2,0,2
1009444,0,2,0,0,2,1,0.5,0.5
1009445,4,6,4,6,0.5,1,0.5,1
1009446,1,3,2,2,2,3,0.5,1
1009447,3,5,0.5,1,0.5,0.5,0.5,1
1009448,3,4,1,2,0.5,0.5,1,2
1009449,1,2,3,3,5,5,5,5
1009450,1,1,1,3,2,1,1,1
1009451,2,3,2,7,1,2,0,0
1009452,2,4,0,2,2,3,2,3
1009453,7,7,7,7,7,7,7,7
1009454,2,3,3,5,1,1,1,2
1009455,6,6,3,3,0,0,1,2
1009456,3,7,5,7,5,7,0.5,0.5
1009457,7,7,6,7,4,6,2,3
1009458,1,3,1,3,1,1,4,5
1009459,3,3,4,5,4,4,2,2
1009460,4,7,1,3,0.5,0.5,0,0
1009461,1,1,1,2,3,3,0.5,0.5
1009462,0.5,2,3,4,3,4,1,1
1009463,3,4,4,7,3,3,2,2
1009464,1,4,0.5,2,7,7,7,7
1009465,1,3,0.5,1,0.5,0.5,0,0
1009466,5,6,0.5,1,0,0,6,6
1009467,0.5,0.5,3,4,3,7,0.5,0.5
1009468,1,2,1,2,0.5,0.5,1,1
1009469,1,2,3,4,3,5,0,0
1009470,0.5,1,2,3,2,3,0,0
1009471,4,5,2,5,0,1,0,0
1009472,2,2,3,3,0.5,1,1,1
1009473,0.5,0,6,7,6,7,2,3
1009474,3,7,1,2,3,7,1,2
1009475,1,3,0,0,3,0.5,3,2
1009476,3,3,1,1,0,0,4,3
1009477,1,2,1,2,1,2,0.5,1
1009478,3,4,0,1,1,1,3,4
1009480,3,6,2,4,1,2,0.5,1
1009481,1,1,0.5,1,1,2,0,1
1009482,2,2,4,6,0.5,1,0,0
1009483,1,2,0,0.5,0,0.5,2,3
1009484,1,2,6,5,1,0.5,2,4
1009485,3,3,0,2,0,0.5,1,2
1009486,4,6,1,4,1,1,0,0
1009487,0.5,1,2,4,0.5,0.5,0.5,0.5
1009488,1,2,1,2,1,1,0.5,0.5
1009489,2,3,0,0,2,1,0.5,5
1009490,7,7,0,0,0,0,7,7
1009491,3,6,1,3,2,4,1,2
1009492,4,7,0,2,0,0.5,0.5,0.5
1009494,3,2,1,1,1,2,0,0
1009495,1,0.5,2,4,1,1,2,3
1009496,3,5,4,7,2,4,2,3
1009497,1,1,2,5,0.5,2,2,2
1009498,3,5,0.5,1,0,0,3,7
1009500,1,3,4,6,0,0,0,0
1009501,5,7,1,4,0.5,0.5,0.5,0
1009502,2,4,0.5,0.5,0,0,4,4
1009503,2,3,0.5,2,4,5,5,6
1009504,1,1,0.5,1,2,2,2,3
1009505,3,4,2,7,0.5,1,4,7
1009506,3,5,2,6,3,3,2,2
1009507,2,3,0,0,2,2,0,0
1009508,2,2,7,7,0,0,1,3
1009509,1,2,0,2,1,3,1,1
1009510,1,1,3,4,2,2,0,0
1009511,0.5,1,2,2,0.5,1,0,0
1009512,1,3,2,6,2,4,0.5,1
1009513,1,3,2,4,1,1,1,2
1009514,3,1,2,4,3,1,1,4
1009515,3,6,2,2,0.5,0.5,4,7
1009516,0.5,1,1,2,0.5,0.5,0.5,0.5
1009517,5,6,1,3,0.5,3,0.5,0.5
1009518,0,2,0,1,2,3,0.5,1
1009519,2,4,1,1,0.5,0.5,2,2
1009520,1,1,7,7,5,7,0,0
1009521,4,6,2,3,2,2,2,3
1009522,0,1,3,3,4,4,0,0
1009523,1,1,1,2,2,1,1,1
1009524,1,1,2,2,0,0,0,0
1009525,2,4,0,0.5,2,1,3,2
1009527,3,3,4,4,0.5,0.5,0.5,0.5
1009528,2,2,4,4,0,0,1,3
1009529,2,3,1,1,2,3,2,3
1009530,2,4,0,0,2,3,2,3
1009531,0.5,2,2,3,0.5,0.5,0,0
1009532,2,4,0.5,2,0.5,0.5,4,7
1009533,4,4,1,2,0,0,3,5
1009534,3,3,0,0,2,2,4,5
1009535,0.5,1,0,1,2,2,2,2
1009536,3,6,0,7,1,2,0.5,0.5
1009537,3,4,0,0,2,3,0,0
1009538,3,4,1,1,1,0,5,5
1009539,0.5,0.5,0.5,2,1,0.5,0.5,0.5
1009540,5,4,0,1,0.5,0.5,1,1
1009541,2,2,1,2,2,2,1,1
1009542,3,6,2,4,0.5,0.5,1,1
1009543,1,2,0,0,0,0,2,3
1009544,3,3,1,1,4,4,5,5
1009545,0,0,3,4,1,2,0,0
1009547,3,2,3,1,0.5,0,3,2
1009548,4,4,2,2,2,3,0.5,1
1009549,1,2,1,2,1,2,0.5,0.5
1009550,5,5,1,2,0.5,1,0,1
1009551,3,5,2,4,0,0,0.5,0.5
1009552,1,2,0,0,2,2,0,0
1009553,2,4,1,2,0.5,1,1,2
1009554,3,4,0.5,1,0,0,2,3
1009555,2,2,0.5,1,0.5,1,0,0
1009556,1,4,2,6,0,0,3,5
1009557,1,3,2,6,2,3,2,3
1009558,3,4,4,7,4,7,0,0
1009559,1,2,5,7,1,1,4,5
1009560,3,5,0.5,2,1,2,1,1
1009562,4,4,3,3,0,0,0,0
1009563,2,5,1,5,1,4,4,0.5
1009564,1,3,1,4,0.5,0.5,3,6
1009565,1,3,0.5,1,1,3,1,1
1009566,6,5,1,3,2,1,7,7
1009567,3,5,2,4,0,0,5,4
1009568,4,6,1,1,1,2,0.5,1
1009569,0.5,1,1,2,1,2,3,3
1009570,0.5,1,0.5,1,4,4,4,7
1009571,4,5,2,3,2,1,3,3
1009572,1,1,3,7,0,0.5,0,0
1009573,1,3,3,4,1,1,1,2
1009574,2,3,0.5,0.5,0,0,3,3
1009575,1,2,1,2,0.5,1,4,7
1009576,1,1,2,2,1,0.5,0,0
1009578,1,1,2,4,0.5,1,0.5,0.5
1009579,2,2,2,3,0,0.5,3,4
1009580,0.5,2,7,7,7,7,0,0
1009581,0.5,1,0,0,0.5,0.5,1,1
1009582,2,2,2,3,0,0,0.5,1
1009583,2,5,0.5,0.5,2,3,3,4
1009584,0,1,2,3,0,0.5,6,7
1009585,3,4,5,7,2,3,5,7
1009586,1,2,1,2,0,0,4,5
1009587,4,5,1,2,1,1,2,2
1009588,0,1,0,0,3,1,7,7
1009589,5,6,1,6,4,3,2,4
1009590,0.5,2,0,0,0,0,1,0.5
1009591,0,1,3,6,4,5,2,3
1009592,1,3,1,2,1,2,1,2
1009593,0,2,0,0,3,4,0,0
1009594,0.5,1,1,1,0.5,0.5,2,3
1009596,2,3,0.5,0.5,0,0.5,0,0
1009597,0.5,1,0.5,1,0.5,1,0,0
1009598,5,5,1,0,1,1,3,4
1009599,5,6,3,4,2,4,0,0
1009600,4,6,3,4,2,1,5,7
1009601,1,4,1,2,1,0.5,5,7
1009602,3,5,0,0,3,3,7,7
1009603,1,2,3,3,0.5,0.5,1,2
1009604,1,0.5,0,0,0.5,0.5,0.5,0.5
1009605,3,4,1,1,2,3,0.5,1
1009606,3,5,2,2,0.5,0.5,0,0
1009608,3,5,4,7,1,2,2,3
1009610,3,4,4,4,2,2,2,2
1009611,1,4,4,3,4,2,1,2
1009612,4,4,0.5,2,4,5,0,0
1009613,3,3,0,0,0,0,4,3
1009614,2,3,2,4,0.5,2,3,4
1009615,2,2,3,3,0.5,0.5,0.5,0.5
1009616,4,4,0,0,2,3,2,2
1009617,2,4,2,4,0.5,1,0,0
1009618,2,1,0,0,0.5,0.5,2,4
1009619,1,2,1,4,0,0,2,4
1009620,3,4,0.5,1,0,0.5,0,0
1009621,3,5,5,6,1,2,0,0
1009622,0.5,2,7,7,0,0.5,0.5,0.5
1009623,3,6,3,6,0.5,1,0.5,0.5
1009625,2,4,2,3,0,0,7,7
1009626,5,7,2,3,1,1,0,0
1009628,2,3,0,0,2,2,3,3
1009629,1,2,3,7,1,0.5,0.5,0.5
1009630,3,5,2,3,2,2,2,6
1009631,2,2,0.5,1,3,2,1,1
1009632,2,2,4,7,0.5,0.5,0.5,0.5
1009633,5,7,0,0,0.5,0,5,6
1009634,4,6,3,5,1,1,0.5,0.5
1009635,3,4,4,6,1,1,3,3
1009636,2,1,2,2,1,3,2,4
1009637,2,3,0.5,0.5,0,0,2,3
1009639,0,0,0,2,5,6,0,0
1009640,4,5,2,3,0,0,3,4
1009641,3,5,3,6,0,0,7,7
1009642,2,4,2,4,1,0.5,0,0
1009643,1,2,0.5,2,2,2,1,2
1009644,7,7,7,7,7,7,3,5
1009645,3,2,4,0.5,3,0.5,7,7
1009646,2,4,0.5,1,1,1,2,4
1009647,2,2,0,0,4,3,4,4
1009648,2,3,2,4,1,1,7,7
1009649,1,1,1,7,4,2,1,1
1009650,3,3,0,0,1,1,3,6
1009651,1,1,0.5,0.5,1,1,1,1
1009652,2,1,2,1,0,0,3,3
1009653,0.5,0.5,7,7,1,2,7,7
1009654,3,3,5,3,1,1,0.5,1
1009656,3,4,0.5,1,0.5,1,2,3
1009658,2,3,0.5,0,3,4,3,3
1009659,1,3,0.5,4,0,0,4,7
1009660,1,0,1,0,0,0,1,0
1009661,0.5,3,1,2,0,0.5,6,6
1009662,2,1,1,1,0.5,0.5,5,4
1009663,2,2,0.5,1,0.5,0.5,2,1
1009664,2,3,2,3,0.5,0.5,0.5,0.5
1009665,1,1,4,6,0,0,0.5,1
1009666,3,5,3,5,1,2,0.5,0.5
1009667,3,5,4,6,1,2,2,4
1009668,2,2,0.5,1,0,0,0.5,0.5
1009669,7,7,5,7,0,0,7,7
1009670,2,4,2,3,0,0,0,0
1009671,2,4,0,0,1,2,4,2
1009672,0.5,1,2,7,0,0,0,0
1009673,3,3,0,0,0,0,4,5
1009674,1,2,3,3,0.5,0.5,1,1
1009676,2,3,0.5,0.5,2,2,4,5
1009677,2,5,2,3,1,3,2,5
1009678,0.5,1,0.5,1,0,0.5,0.5,0.5
1009679,4,5,2,3,1,1,0.5,0.5
1009680,7,7,7,7,7,7,1,7
1009681,2,3,2,4,3,2,2,3
1009682,4,6,3,4,0.5,1,0,0
1009683,0,2,2,5,1,2,0,0.5
1009684,0.5,0.5,2,4,0.5,1,1,1
1009685,2,3,2,4,1,1,1,2
1009686,1,4,3,4,1,1,4,5
1009687,3,4,0.5,0.5,1,1,0,0
1009688,7,6,3,4,2,2,1,1
1009689,2,2,2,3,0,0,2,3
1009690,3,5,2,4,1,1,1,2
1009691,1,3,2,3,2,3,0.5,1
1009692,2,4,3,6,1,3,4,5
1009693,1,1,4,6,4,6,0.5,1
1009694,0.5,2,0,0,2,1,2,2
1009695,2,2,0.5,1,0,0,6,6
1009696,1,3,2,4,0,0.5,3,3
1009697,0.5,0.5,4,7,0.5,0,0,0
1009698,2,2,0,0,2,3,2,3
1009699,1,2,5,7,1,1,0.5,0.5
1009700,2,2,3,5,0.5,0.5,0.5,0.5
1009701,1,2,2,4,1,2,0,0
1009702,0.5,2,3,4,0,0,0.5,0.5
1009704,6,3,0,2,1,0,7,7
1009705,4,6,4,6,0,0,0,0
1009706,3,7,4,7,0,0,0.5,0.5
1009708,3,4,1,3,2,1,2,1
1009709,0,1,3,4,0.5,0.5,0,0
1009710,3,5,1,3,1,0.5,0.5,1
1009711,4,4,0,2,1,1,3,3
1009712,3,3,0,0.5,0,0,3,4
1009713,3,2,0,0,2,1,3,2
1009714,3,3,0,0,7,6,6,6
1009715,2,1,0.5,1,1,2,0.5,0.5
1009716,0.5,0,0.5,0.5,3,5,4,5
1009717,6,6,6,6,6,6,5,5
1009718,4,6,5,7,2,3,0.5,0
1009720,7,7,6,7,6,6,5,6
1009721,2,4,1,4,0,0.5,0,0
1009722,4,6,2,3,0,0,0.5,0.5
1009723,3,3,2,2,2,3,2,2
1009724,2,4,2,4,2,1,7,7
1009725,1,2,2,4,2,3,6,6
1009727,0.5,0,2,4,2,4,2,2
1009728,4,5,2,3,6,6,6,6
1009729,3,5,0,2,3,1,3,4
1009731,2,3,0,0,0.5,0.5,2,1
1009733,4,3,1,0.5,1,0.5,7,7
1009734,2,2,3,5,0.5,0.5,2,4
1009735,4,4,0.5,1,1,3,2,4
1009736,3,3,7,7,0,0,0.5,0.5
1009737,2,5,1,2,0.5,0.5,2,2
1009738,4,6,6,7,4,7,0,0
1009740,4,7,1,2,5,4,1,3
1009741,4,5,1,3,3,4,2,3
1009742,3,2,0.5,0,0.5,0.5,3,4
1009743,2,0.5,1,1,0.5,0.5,0.5,0.5
1009744,5,5,4,5,1,2,7,7
1009745,1,0.5,0,0,2,2,0.5,0.5
1009746,1,1,3,5,2,4,1,2
1009747,3,5,2,6,3,4,7,7
1009748,2,0,0.5,0,2,0,0,0
1009749,2,3,1,2,1,1,2,4
1009750,2,2,0,0.5,1,0,1,0.5
1009751,5,7,4,7,5,7,4,6
1009752,5,5,3,4,2,2,2,2
1009754,2,3,3,4,0.5,0.5,1,1
1009755,2,3,0,0,1,1,2,4
1009756,3,0,7,7,0.5,0.5,0,0
1009757,1,1,4,5,1,2,0,0
1009758,1,3,3,5,0.5,1,2,4
1009759,0,0,2,5,1,0,7,7
1009760,3,5,2,3,0,0,0.5,1
1009761,4,6,2,3,2,2,4,6
1009762,4,3,0.5,1,0,0,4,5
1009763,1,0.5,0,0,0.5,0,2,1
1009764,2,3,2,3,0.5,0.5,4,4
1009765,1,1,0.5,0,0.5,0,3,1
1009767,0.5,1,1,1,1,1,0.5,1
1009769,1,1,3,3,1,1,1,1
1009770,1,4,1,2,1,1,0,0
1009771,1,1,2,4,0.5,1,0.5,0.5
1009772,1,2,0.5,2,0,0,2,3
1009773,5,3,1,2,1,2,2,3
1009774,1,2,4,5,0.5,0.5,0.5,0.5
1009775,2,3,0.5,1,0,0,4,6
1009776,0.5,5,4,6,2,2,1,1
1009777,2,2,2,4,1,2,3,4
1009778,0.5,2,7,7,2,0.5,1,1
1009779,3,6,3,7,1,1,7,7
1009781,4,5,4,6,2,3,5,5
1009782,2,2,0.5,0,0,0,7,7
1009783,3,4,0.5,1,2,1,2,4
1009784,2,2,2,2,0,0,2,1
1009785,2,3,0,0,7,7,6,7
1009786,3,2,0,0,0.5,0.5,2,2
1009787,2,2,0,0.5,0.5,0.5,1,1
1009788,0.5,0.5,2,4,1,4,5,3
1009789,0.5,0.5,3,4,0.5,1,0.5,1
1009790,2,0,5,6,2,3,1,2
1009791,2,4,1,1,2,3,1,2
1009792,0.5,2,2,4,1,2,0,0
1009793,3,5,0,0,0.5,0.5,3,3
1009794,2,4,4,7,6,7,0,0
1009795,1,2,1,2,0,0,0,0
1009796,3,4,0,2,1,1,2,2
1009797,4,6,0,1,1,0.5,5,7
1009798,3,5,0,0,2,3,1,2
1009799,2,4,2,3,3,5,5,7
1009801,3,3,2,2,2,2,1,1
1009802,2,3,2,3,0.5,0.5,2,2
1009803,2,4,1,2,0.5,1,1,2
1009804,3,2,4,0,0,0,0,0
1009805,3,1,0,0.5,4,7,0,0
1009806,2,5,1,1,3,0.5,2,2
1009808,5,6,0,0,1,1,7,7
1009809,4,4,0.5,1,3,4,7,3
1009810,3,3,4,5,2,1,7,7
1009811,4,2,2,2,5,3,6,4
1009813,4,3,2,2,2,2,4,4
1009814,3,2,3,5,0.5,0,1,2
1009815,1,2,0.5,1,3,4,1,1
1009816,1,4,1,3,1,1,1,1
1009817,1,3,0.5,1,0.5,1,0.5,1
1009818,0,0,4,7,4,6,2,4
1009819,0,1,0,1,1,2,2,4
1009820,2,4,0.5,2,3,4,4,4
1009821,2,4,1,3,0,0,1,2
1009822,3,6,3,7,0.5,1,3,7
1009823,2,3,1,2,2,2,2,3
1009824,1,2,0,0,1,2,2,2
1009825,2,5,0,2,1,0.5,0,0.5
1009826,0.5,2,1,2,0.5,1,2,3
1009827,2,5,0.5,2,0.5,1,2,3
1009828,1,2,0.5,2,0.5,1,0.5,0.5
1009830,1,5,0,2,2,4,3,7
1009831,1,2,0,0,1,1,0.5,1
1009832,2,5,0,0,2,6,0,0
1009833,2,5,1,3,2,4,2,4
1009834,2,4,3,4,2,3,0.5,1
1009835,1,1,4,4,0,0,2,2
1009836,3,7,1,3,2,0,0.5,1
1009837,4,5,4,6,2,5,7,7
1009838,2,4,0,0.5,1,2,4,4
1009839,3,4,1,3,1,2,0.5,0.5
1009840,2,3,0.5,1,0.5,0.5,5,7
1009841,4,5,2,3,0,0,0,0
1009842,1,2,0.5,1,0.5,0.5,2,4
1009843,2,1,0,0,4,5,7,7
1009844,3,2,2,3,0.5,2,3,4
1009845,6,7,0,0,1,1,2,2
1009846,3,4,1,2,0,0.5,0,0.5
1009847,5,6,7,7,7,7,1,2
1009848,3,4,0,0,1,2,2,3
1009849,5,7,0,0,7,7,7,7
1009850,1,2,0.5,1,2,4,5,5
1009851,5,7,0,0,5,7,7,7
1009852,2,0.5,0,0,3,0.5,5,6
1009853,3,4,0,0,5,5,3,3
1009854,0.5,0.5,0,0,1,1,4,5
1009855,7,7,7,3,3,3,7,7
1009856,2,4,0,0,3,5,1,3
1009857,2,0.5,0,0,0,0,6,7
1009858,1,3,0,0.5,1,2,2,3
1009859,7,7,6,2,0.5,7,7,7
1009860,5,7,0,0,4,7,4,5
1009861,0,1,0,0,4,3,4,5
1009862,3,5,0,0,2,3,2,4
1009863,3,3,0,0,0.5,0.5,4,3
1009864,0.5,2,0,0,2,1,7,7
1009865,0.5,2,0,0,0.5,0.5,3,4
1009866,3,3,0,0,1,1,5,7
1009867,6,7,0,0,7,7,7,7
1009868,0,0,0,0,4,5,1,3
1009869,2,2,0,0,0.5,0,2,3
1009870,2,4,0,7,2,4,7,7
1009871,4,5,1,2,3,4,1,2
1009872,0.5,0.5,0,0,1,1,7,7
1009873,2,4,0,0,0.5,0.5,3,6
1009874,2,2,0,0,1,2,0.5,0
1009875,1,2,0,0,2,0.5,4,5
1009876,0.5,1,0,0,5,4,0.5,1
1009877,1,3,0,0,0.5,0.5,1,1
1009878,7,7,1,1,0.5,0.5,0.5,1
1009879,1,3,0,0,4,4,3,5
1009880,3,5,2,5,1,2,3,5
1009881,3,5,0,0,0.5,0.5,0.5,2
1009882,4,3,0,0,4,4,2,3
1009883,0.5,1,0,0,0.5,1,1,3
1009884,4,7,0,0,1,4,7,7
1009885,7,7,0,0,0,0,7,7
1009886,2,3,0,0,0.5,0.5,1,2
1009887,2,4,0,0,4,5,2,4
1009888,3,3,0,0,2,3,0.5,2
1009889,2,3,0,0,2,3,2,3
1009890,2,2,0,0,1,2,1,2
1009891,4,4,0,0,0.5,0.5,1,1
1009892,1,3,0,0,2,4,2,2
1009893,3,0.5,0,0,2,1,4,5
1009894,1,2,0,0,2,4,1,2
1009895,1,0.5,0,0,6,6,6,6
1009896,0.5,1,0,0,3,3,1,2
1009897,1,4,0,0,1,1,0.5,1
1009898,2,5,0,0,5,5,0.5,0.5
1009899,0.5,2,0,0,1,2,4,5
1009900,5,2,0.5,0.5,4,5,3,6
1009901,0.5,1,0,0,1,1,1,2
1009902,4,6,0,3,0,0.5,2,4
1009903,2,3,0,0,0,0,3,4
1009904,4,7,0,0,3,7,3,7
1009905,1,2,0,0,0.5,2,0.5,0.5
1009906,1,1,0,0,0,0,0.5,1
1009907,1,3,0,0,1,1,7,7
1009908,2,4,0,0.5,1,0.5,4,6
1009909,0.5,1,0,0,1,1,1,2
1009910,1,1,0,0.5,0,2,7,7
1009911,3,5,0,0,0,0.5,7,7
1009913,1,3,0.5,0.5,0.5,0,1,0.5
1009914,2,3,0.5,1,1,2,3,4
1009915,3,2,1,1,2,1,7,7
1009916,0.5,3,2,2,1,2,7,7
1009917,3,7,0,0,1,1,2,4
1009918,2,3,0,0,1,2,1,1
1009920,1,2,0,0,2,1,3,4
1009923,0,0,4,7,4,7,2,0.5
1009924,1,1,0,2,0,0.5,0,0.5
1009925,3,6,1,3,1,4,0.5,0.5
1009926,4,3,2,3,2,4,1,3
1009927,3,2,0,0,7,7,7,7
1009928,2,4,0,0.5,1,3,1,3
1009929,2,3,0,0,0.5,1,1,2
1009930,2,6,0,0,3,4,2,3
1009931,2,4,0,0,2,4,3,3
1009932,2,3,0,0,3,2,3,4
1009933,1,2,0,0,3,6,0,1
1009934,2,4,0,0,4,6,1,1
1009935,2,4,1,1,3,0.5,1,1
1009936,1,3,0,0,2,4,2,3
1009937,3,5,0,0.5,2,1,0.5,0.5
1009938,1,1,0,0,2,4,0,0.5
1009940,3,4,0,1,5,6,1,3
1009941,2,0.5,0,0,3,0,5,7
1009943,1,4,0,0,0.5,1,0,0.5
1009944,3,4,0,0,2,2,3,4
1009945,0.5,1,0,0,2,4,0,0
1009947,0.5,1,0,0,1,0.5,6,7
1009948,0.5,1,0,0,3,4,4,6
1009949,1,2,0,0.5,3,5,0,0.5
1009950,3,6,2,3,2,2,6,7
1009951,2,4,0,0,6,4,2,2
1009952,0.5,3,0,0,2,0,0,0
1009953,0.5,1,0,0,0.5,1,0,0
1009954,2,4,0,0,2,3,0.5,0.5
1009955,3,5,0,0,3,6,0.5,2
1009956,0.5,3,0,0,2,3,1,2
1009957,1,0.5,0,0,3,2,1,1
1009958,3,3,0,0.5,4,2,4,4
1009959,1,2,0,0,2,3,4,3
1009960,0.5,1,0,0,2,3,0.5,1
1009961,0.5,2,0,0,2,3,7,7
1009962,1,2,0,0,0.5,0.5,4,5
1009963,4,5,0,1,2,3,5,5
1009964,0.5,1,0,0,4,5,0,0
1009966,2,3,0,0,4,4,5,5
1009967,3,4,0.5,1,5,5,1,1
1009968,1,2,0,0,3,3,2,2
1009969,5,6,0,0,4,5,4,5
1009970,1,3,0,0.5,2,4,2,4
1009971,3,5,0,0,3,5,1,2
1009972,6,6,0,0,2,3,7,7
1009973,0,0.5,0,0,0.5,0.5,0.5,1
1009974,3,5,0,0,4,3,1,2
1009975,4,5,3,5,5,6,1,1
1009976,0.5,1,0.5,0.5,1,1,0.5,1
1009977,2,0.5,0,0,0.5,0.5,3,5
1009978,2,3,0,0.5,3,4,2,4
1009979,0.5,0.5,0,0,3,4,0,0
1009980,2,2,0,0,0,0.5,3,4
1009981,5,4,0,0,3,2,6,6
1009982,4,6,0,0,0.5,0.5,5,7
1009983,0.5,3,0,0,0.5,0.5,3,4
1009984,2,7,0,0,3,5,2,4
1009985,1,2,0,0,1,2,5,7
1009986,3,5,0,0,2,3,4,5
1009987,6,6,2,3,6,6,1,0.5
1009988,3,0.5,2,2,0.5,0.5,4,6
1009989,3,3,1,1,1,3,3,4
1009990,0,1,1,2,0.5,1,0.5,0.5
1009991,4,7,0,0,1,1,3,3
1009992,7,7,7,4,0,0,7,7
1009993,4,7,4,7,1,3,2,4
1009994,3,2,1,1,0,0,4,4
1009995,1,3,0,4,2,2,1,2
1009996,3,6,2,4,1,2,2,3
1009997,4,1,0,1,4,2,5,5
1009998,0.5,1,0,0.5,2,3,1,1
1009999,4,3,0,0,0,0,4,5
1010000,3,4,2,2,2,0.5,7,5
1010001,4,4,5,7,0,0.5,0,0.5
1010002,6,7,6,3,3,3,7,7
1010003,1,4,3,5,0.5,1,0,0
1010004,1,0.5,3,5,0,0,0,0
1010005,3,5,0,0,4,5,6,6
1010007,1,3,1,2,1,1,1,1
1010008,7,7,3,4,1,3,7,7
1010010,3,6,1,2,3,6,5,5
1010011,3,4,3,5,1,1,7,7
1010012,4,6,7,0,4,4,0,0
1010013,4,5,2,3,3,4,2,3
1010014,4,4,0.5,1,1,2,2,2
1010015,1,2,0,0,7,7,7,7
1010016,4,6,2,3,0,4,7,7
1010017,3,4,1,2,0,0,0.5,0.5
1010018,3,5,1,3,0.5,0,0.5,0.5
1010019,1,0.5,0.5,0,2,2,7,7
1010020,1,2,1,2,1,2,0,0
1010022,5,7,4,6,2,3,0.5,2
1010023,3,2,0.5,1,1,1,3,4
1010025,4,6,3,5,3,3,5,6
1010026,2,3,0,0,2,3,1,1
1010027,4,3,4,5,0,0,7,7
1010028,6,7,1,1,2,4,7,7
1010029,4,7,4,7,2,5,2,5
1010030,4,6,0,0.5,0,0,2,4
1010031,2,2,0.5,0.5,3,3,3,3
1010032,5,3,3,3,1,0.5,4,4
1010033,0,3,0,3,0.5,1,0,1
1010034,4,5,0.5,2,3,5,1,2
1010035,2,5,2,5,0.5,2,3,3
1010036,2,4,3,7,5,7,2,3
1010037,5,7,4,5,0.5,0.5,0.5,1
1010038,5,4,0,0,0,0,7,7
1010039,5,6,5,6,0,0,1,1
1010040,3,6,1,4,0.5,1,2,2
1010042,0,1,0,3,2,0.5,4,3
1010043,2,3,4,4,4,4,3,5
1010045,5,6,6,5,5,5,6,6
1010046,2,3,3,4,1,1,1,1
1010047,4,7,4,7,0.5,0,0,0
1010048,1,3,2,3,0,1,1,3
1010049,1,1,2,3,0.5,0.5,7,7
1010050,3,5,5,7,4,6,7,7
1010051,4,7,7,7,6,7,3,6
1010052,3,3,4,7,0.5,0.5,7,7
1010053,2,3,1,5,0,0,5,5
1010054,3,6,3,7,0,0,0,0
1010055,3,2,1,1,0,0,4,5
1010056,4,7,6,7,0,0.5,5,7
1010057,3,4,0,1,2,3,3,4
1010058,3,5,2,2,2,4,1,2
1010059,2,1,1,1,0.5,0.5,2,1
1010060,1,2,1,1,2,2,7,7
1010061,0,1,1,0,4,7,0,0
1010062,7,7,7,7,0,0,2,2
1010063,1,1,6,7,6,7,0.5,0.5
1010064,2,3,3,4,2,3,3,3
1010066,1,2,0.5,0.5,0,0,1,1
1010067,3,5,0.5,4,1,5,0,2
1010068,4,4,2,3,1,0,2,4
1010069,2,5,6,7,0.5,2,0.5,1
1010070,5,7,2,5,3,5,0.5,1
1010072,2,4,0.5,1,2,4,0.5,0.5
1010073,3,5,0,4,2,3,0,0
1010074,1,3,3,5,4,5,0.5,1
1010075,1,2,0.5,2,5,7,7,7
1010076,2,3,3,7,0.5,1,2,2
1010077,6,1,0,0,1,0,7,5
1010078,5,7,3,5,0.5,0.5,1,0.5
1010079,4,5,2,4,0.5,0,4,4
1010080,5,7,2,4,0,0,0,0
1010081,1,3,3,4,1,1,0.5,0.5
1010082,3,3,0.5,2,3,5,0.5,1
1010083,1,2,1,3,1,2,2,4
1010084,3,3,2,5,2,1,0,0
1010085,3,4,2,3,0.5,1,4,5
1010086,7,7,3,4,0.5,0,5,7
1010087,2,4,4,6,0.5,1,0,0
1010088,1,2,5,7,1,2,1,1
1010089,1,2,0.5,0.5,0.5,0.5,0,0
1010090,0.5,2,3,6,0.5,1,1,2
1010091,3,3,1,2,1,1,1,1
1010092,0.5,1,0,0,3,4,0,0
1010093,2,5,0,4,3,4,0,0
1010094,4,6,1,2,0.5,1,0,0
1010095,3,4,1,2,0.5,0.5,0,0
1010096,3,7,0,0.5,3,7,0.5,3
1010097,1,2,1,2,1,3,0,0
1010098,2,3,5,6,4,5,0,0
1010099,3,5,0.5,2,2,3,0.5,2
1010100,5,6,2,3,1,3,4,4
