StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E,Mean_MA,Mean_QANX,Mean_QINFL,Mean_QSF,Mean_QHIND,Mean_QSC,Mean_QSE,Mean_SPSS,GenderE,RaceEthE,RaceEthE_tidy,GradeE,GradeE_tidy,StuStaE,GPAE,MajorE,MajorE_tidy,AgeE
161,3,3,3,3,4,1,2,3,3,4,4,4,2,2,3,4,4,4,4,4,4,4,4,4,3,4,3,4,2,5,4,1,2,3,4,3,3,3,5,1,1,5,5,5,5,5,5,1,3,3.75,3.285714286,4,3.6,1.5,3,5,1,7,South/Central American,2,B,2,2,1,Psychology,19
162,1,5,5,1,1,2,3,1,4,2,2,4,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,3,2,3,3,2,4,4,4,2,2,3,4,2,2,4,5,5,5,4,4,2,1.375,3,1.142857143,4,3.8,2.5,3.166666667,4.3,2,3,White,B,B,Sophomore,3,Psychology and Sociology,Double Major,19
163,5,1,2,3,2,3,5,1,5,4,4,3,1,1,1,1,4,4,2,5,5,3,3,2,4,1,1,1,2,3,5,4,5,5,3,3,3,2,4,2,2,3,4,4,2,4,4,2,3,4,2,4,1.8,2.5,3.5,3.7,1,3,White,A,A,Sophomore,4,psychology,Psychology,19
164,3,4,3,3,5,1,4,3,3,3,3,4,2,4,4,3,3,3,3,4,4,5,5,3,3,4,4,3,3,3,2,3,4,4,4,3,3,3,5,1,1,5,5,5,5,5,5,1,2.75,3.25,3.142857143,4.5,3.4,3.25,3.5,5,1,6,Native American/Alaska Native,1,A,2,3.8,1,Psychology,20
165,3,5,3,3,5,1,1,4,3,3,3,4,3,3,3,5,3,5,5,4,4,4,4,4,3,4,4,5,1,4,3,1,4,4,3,5,4,3,4,2,4,5,5,4,4,5,5,3,3.125,3.25,3.857142857,4,4,1.75,3.833333333,4.1,1,3,White,1,A,2,3,1,Psychology,19
166,1,5,3,2,3,2,5,2,5,5,5,5,4,1,1,3,3,3,3,2,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,1.875,5,2.571428571,4,3,3,3,3.2,1,3,White,3,C,2,3,1,Psychology,19
167,3,3,4,4,3,1,2,2,3,4,4,4,2,2,2,3,3,3,3,4,4,3,3,3,3,2,2,3,4,3,2,2,3,4,4,4,4,4,3,2,4,4,4,4,4,4,4,2,2.75,3.75,2.571428571,3.5,2.6,3.25,3.833333333,3.7,1,3,White,A,A,Freshman,4,Kiniseology,Kinesiology,19
168,2,4,3,3,4,1,3,2,3,3,2,3,1,1,1,1,1,1,1,4,4,3,3,2,3,3,3,3,4,3,2,2,3,3,5,3,3,1,4,2,4,4,3,3,4,3,3,3,2.5,2.75,1,3.5,2.8,3.25,3,3.3,1,3,White,A,A,Senior,4,Global & Emviormental Health,Double Major,26
169,4,3,3,4,4,2,5,1,5,4,4,3,2,2,2,1,1,1,2,5,5,5,5,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,5,2,2,4,4,3,3,4,4,2,2.75,4,1.571428571,5,4.8,3,4.166666667,3.9,2,3,White,1,A,3,4,1,Psychology,23
170,3,3,4,2,2,2,5,1,4,4,3,3,1,1,1,4,4,3,3,4,5,4,4,3,4,2,2,2,3,3,4,3,2,4,3,4,3,3,4,2,2,3,4,3,3,4,3,2,2,3.5,2.428571429,4.25,2.6,2.75,3.166666667,3.6,1,3,White,A,A,Sophomore,3.5,Psych and HDF,Double Major,18
